"","G3","G22","G58","G59","G76","G82","G87","G90","G115","G162","G165","G168","G171","G174","G177","G180","G216","G277","G278","G279","G280","G282","G283","G287","G290","G316","G317","G321","G323","G325","G330","G383","G387","G391","G597","G600","G603","G606","G658","G661","G663","G665","G667","G668","G669"
"G165",0.367859200771101,0.407018051242683,0.373854083159733,0.414615216407973,0.389074013972777,0.383337929783631,0.41231443681233,0.388142046681781,0.386127605079493,0.433150964138277,1,0.466890793217197,0.383586889303796,0.433963528717711,0.4301545966852,0.40896597238335,0.379261915876147,0.367398990520181,0.409531014678257,0.409101609247846,0.387667826800432,0.401447224622014,0.380469670268384,0.348090909482852,0.414261367097217,0.362109274881958,0.365399150249933,0.412390045588087,0.377975895300824,0.399271941369109,0.37211904303122,0.417122590229556,0.398045061516788,0.417895386725595,0.329568236881937,0.398626950649295,0.37086958702066,0.386381999440352,0.400316559643456,0.331310880341059,0.386882744577529,0.390284806410793,0.364587512910685,0.401220754062189,0.386812913903179
"G168",0.366224034439383,0.395390766212262,0.433715096209226,0.385686977428658,0.411737182910122,0.405916286381341,0.405162852695149,0.386737961730171,0.42870022055791,0.411867048798974,0.466890793217197,1,0.452365906124177,0.427143671641403,0.399697956340678,0.416642895661578,0.371293205012729,0.399791743175941,0.42031919198713,0.42111263226931,0.390554067982991,0.40309355629026,0.397781448672738,0.400384639251721,0.431163442559254,0.403453196108006,0.40031028616902,0.461952950073379,0.428821469436744,0.443002495997595,0.412485333601633,0.410755771018616,0.392017102697093,0.418631002934511,0.405256634215247,0.418731381657971,0.39407000174055,0.371605417157707,0.454493336997755,0.350404094643762,0.400989432737564,0.402026562531594,0.393545500120951,0.388903673918591,0.406824309634571
"G171",0.420499443035308,0.382762308540554,0.398315932609323,0.419364022194985,0.388241392260083,0.411521373144039,0.422551759781117,0.379649074057409,0.399741733695877,0.433492954537951,0.383586889303796,0.452365906124177,1,0.45382762467707,0.379588953795026,0.427191652405042,0.366978060061708,0.48328032250886,0.46468207131337,0.409059845216925,0.446278504057289,0.425851172418988,0.410771756888199,0.451517097018197,0.396013758662705,0.531334860280266,0.541257946946998,0.477719420064807,0.525188917847333,0.510678084286907,0.508059135714984,0.392613471471586,0.406600542754832,0.446333094986633,0.503773259136476,0.450061237968371,0.448540363163475,0.409696344200691,0.448189114951532,0.422419251651817,0.403276825098955,0.436213020684448,0.41082676815295,0.436474512014092,0.395917113149774
"G174",0.371546167371681,0.443850446748903,0.404795886269466,0.36976059305525,0.402455243325125,0.422467373492041,0.382913827471481,0.409892890684067,0.452958578248905,0.360132730859994,0.433963528717711,0.427143671641403,0.45382762467707,1,0.386480983538799,0.472075693415781,0.374653748305136,0.421029918426272,0.49102227747119,0.404839488242765,0.423918242469663,0.414458772576836,0.400079154927267,0.41789814066494,0.459609306529282,0.466859677666593,0.504257062357739,0.49672777866209,0.48037916436408,0.462584274560196,0.449982382241295,0.374820692646067,0.422481823210724,0.423196086055549,0.439952888910285,0.404928474717847,0.418233852465971,0.379017957857008,0.4634935719986,0.389955286298082,0.42938449644117,0.437202536539245,0.417776783268291,0.420751449130322,0.407793104236657
"G177",0.397026084062655,0.39401127905802,0.411391028612392,0.413547834955548,0.431083184150824,0.408770103766503,0.386084912569265,0.380114958937236,0.40015540121719,0.400748495823455,0.4301545966852,0.399697956340678,0.379588953795026,0.386480983538799,1,0.391369244906621,0.371733343039707,0.414566350352549,0.402930282075857,0.408233461752814,0.399955605430875,0.395402898386452,0.397723074364325,0.411464647814792,0.379450705495804,0.347068637909706,0.358174812624109,0.378454822269371,0.345409767798951,0.357853488120791,0.336751037896852,0.409983846433128,0.382580886657565,0.419409616776679,0.36955341534028,0.446002767266582,0.442273951979617,0.41052720459071,0.421126947883092,0.369172860469649,0.38982791739953,0.416205066450942,0.423042543402316,0.419600856208759,0.409888043288178
"G180",0.425158057573362,0.630873000898929,0.481608287152738,0.428531211196467,0.412501195614114,0.566987298107781,0.440134622781946,0.462145799890826,0.578722481640965,0.391183977804633,0.40896597238335,0.416642895661578,0.427191652405042,0.472075693415781,0.391369244906621,1,0.409574056793591,0.426204289867842,0.498803826041719,0.509532492784162,0.509855205995977,0.50225418169497,0.433223128238089,0.408679042030023,0.469758186233388,0.431412832622407,0.457364446416552,0.472533547137161,0.459614981643761,0.451111841533002,0.44781149905573,0.363185855336724,0.390529529104053,0.49940071892194,0.431080844613886,0.463765505032575,0.478549560370098,0.432260911749356,0.440904889322943,0.390258810837864,0.458239188023184,0.436910738354829,0.437470121754985,0.480570546107671,0.473273406386841
"G216",0.389213549966302,0.392949534768121,0.422439364518391,0.384976674626327,0.393353026381069,0.398150279644532,0.338259913692208,0.351234161686511,0.42232422781994,0.387370534938975,0.379261915876147,0.371293205012729,0.366978060061708,0.374653748305136,0.371733343039707,0.409574056793591,1,0.374620007051641,0.376791741230767,0.39382373485138,0.395997051152459,0.389074575820562,0.698707814231446,0.368617856720106,0.335128385651868,0.346776017984162,0.331740165861764,0.351275653574504,0.348157753031319,0.335237700581116,0.348477406688732,0.355968066177658,0.386579945227093,0.446342999252842,0.361920286652767,0.395390766212262,0.391236668736614,0.340709018200871,0.36529712980273,0.36310226680032,0.370664210527002,0.360473619712569,0.365337365566916,0.353496151668731,0.393215637209781
"G277",0.45538303343488,0.387588021964985,0.452543650314935,0.387548267128645,0.395794754833958,0.439485897523524,0.42214615437867,0.372449980224455,0.403159883423705,0.411445799201416,0.367398990520181,0.399791743175941,0.48328032250886,0.421029918426272,0.414566350352549,0.426204289867842,0.374620007051641,1,0.454030669205214,0.447889238527919,0.449413643262388,0.435662152079503,0.422495932922723,0.453384266884018,0.386086704099251,0.47613664971376,0.452615449529399,0.399681866361527,0.446718450882868,0.434862985674058,0.409022825704194,0.373702896369859,0.338717874705245,0.422467797840983,0.466308498699076,0.453251329652159,0.481782852453869,0.443437752377268,0.441481383182918,0.419890574022638,0.418449938905007,0.412320394051388,0.426460665323596,0.451307729980559,0.4279763814634
"G278",0.376359417130611,0.456466993980758,0.457716020446779,0.378574713928226,0.405498896030318,0.436201944680298,0.392376018216597,0.475738771886347,0.45020421780585,0.382526916289655,0.409531014678257,0.42031919198713,0.46468207131337,0.49102227747119,0.402930282075857,0.498803826041719,0.376791741230767,0.454030669205214,1,0.479164857221198,0.506250865869973,0.486978483273229,0.416986229013872,0.431998266734821,0.488551608307993,0.472448075023287,0.480930563344234,0.489373074738602,0.459467769692894,0.45192373076439,0.450476241486944,0.374012408177064,0.396334771835175,0.437438047545777,0.448939141515696,0.426776421177714,0.432364215740182,0.410616412855213,0.475650991236668,0.395294565367029,0.423390691034668,0.447161021428526,0.447326805662012,0.417170851259868,0.41180169928309
"G279",0.416749998706449,0.49842301993621,0.52389714318289,0.378780489312099,0.436111042165714,0.507432947259126,0.415914281562874,0.467811383493874,0.508617425489696,0.408876214170183,0.409101609247846,0.42111263226931,0.409059845216925,0.404839488242765,0.408233461752814,0.509532492784162,0.39382373485138,0.447889238527919,0.479164857221198,1,0.614288160878148,0.624283997109525,0.434834951199682,0.392098898861374,0.472651926599276,0.396240369269686,0.41826947914978,0.443026950290959,0.435776809301296,0.458378598243927,0.422692486412254,0.343629946413826,0.342963503506678,0.455027107420043,0.422664477378687,0.436091067091622,0.427557837318909,0.3761000591929,0.471540449471375,0.381365100387208,0.446734280872024,0.400876446796522,0.44175780432641,0.402647186518629,0.460637537015511
