name,effect,Var,14Q2,15Q2,16Q2,17Q2,NoSeason,Sum,reliability,geff.x,G
15Q2ALL55-1026,2.505862683,7.557448201,0,0,6,0,1,6,0.569859666,2.508688856,2.729946136
15Q2ALL55-1027,1.639596363,7.557448201,0,0,6,0,1,6,0.569859666,0.838038011,0.929713963
15Q2ALL55-1028,-4.045901074,9.68094009,0,0,6,0,1,6,0.448998829,-2.990846751,-1.768533068
15Q2ALL55-1029,1.884334896,9.68094009,0,0,6,0,1,6,0.448998829,1.31387284,2.281784512
15Q2ALL55-1030,-4.027830746,7.583987349,0,0,6,0,1,6,0.568349161,-4.28333923,-2.930352146
15Q2ALL55-1031,-1.412937868,7.583987349,0,0,6,0,1,6,0.568349161,-1.34495728,-0.594031691
15Q2ALL55-1032,-5.040084105,8.346631271,0,0,5,0,1,5,0.524942458,-5.992499647,-4.136922168
15Q2ALL55-1033,-1.622447069,7.583987349,0,0,6,0,1,6,0.568349161,-1.980791788,-0.689080056
15Q2ALL55-1034,-0.265967888,7.563456507,0,0,6,0,1,6,0.569517696,-0.54988869,1.748606358
15Q2ALL55-1035,-3.533049313,7.507941206,0,0,6,0,1,6,0.57267741,-3.543837526,-3.491249797
15Q2ALL55-1036,-7.583860948,7.507941206,0,0,6,0,1,6,0.57267741,-7.162939291,-6.515652047
15Q2ALL55-1037,-4.360718571,7.524637951,0,0,6,0,1,6,0.571727096,-4.278859079,-3.023893161
15Q2ALL55-1038,-4.999603847,7.524637951,0,0,6,0,1,6,0.571727096,-4.964701322,-3.824491531
15Q2ALL55-1039,-2.331328967,7.524637951,0,0,6,0,1,6,0.571727096,-2.512680504,-1.271287469
15Q2ALL55-1040,-3.24099202,7.524637951,0,0,6,0,1,6,0.571727096,-3.289152367,-2.462157895
15Q2ALL55-1041,-4.071838417,7.575959439,0,0,6,0,1,6,0.568806078,-4.713331048,-3.864729561
15Q2ALL55-1042,-3.374436614,7.575959439,0,0,6,0,1,6,0.568806078,-2.663863152,-1.888411063
15Q2ALL55-1043,-1.901402192,7.586512892,0,0,6,0,1,6,0.568205417,-2.562080192,-1.616416919
15Q2ALL55-1044,1.429289668,7.610606785,0,0,6,0,1,6,0.566834087,0.787803357,0.783301058
15Q2ALL55-1045,3.500363139,7.53940749,0,0,6,0,1,6,0.570886472,3.66150028,4.143341744
15Q2ALL55-1046,6.321063594,2.927515117,0,0,6,18,2,24,0.833377312,7.508459361,6.756320099
15Q2ALL55-1047,3.343194283,7.53940749,0,0,6,0,1,6,0.570886472,4.015595241,3.391565663
15Q2ALL55-1048,5.400805645,2.927515117,0,0,6,18,2,24,0.833377312,6.147420077,6.19417294
15Q2ALL55-1049,2.607538705,7.53940749,0,0,6,0,1,6,0.570886472,3.523132943,3.102486218
15Q2ALL55-1050,4.286638843,7.53940749,0,0,6,0,1,6,0.570886472,3.636518503,3.089728807
15Q2ALL55-1051,1.231568508,7.53940749,0,0,6,0,1,6,0.570886472,2.428061716,1.902579239
15Q2ALL55-1052,4.00944758,7.53940749,0,0,6,0,1,6,0.570886472,4.476735375,4.279435195
15Q2ALL55-1053,8.271051696,2.927515117,0,0,6,18,2,24,0.833377312,8.591510943,8.745055916
15Q2ALL55-1054,0.774568791,7.53940749,0,0,6,0,1,6,0.570886472,1.290281204,1.288964175
15Q2ALL55-1055,6.301115586,2.927515117,0,0,6,18,2,24,0.833377312,6.435401454,7.640349297
15Q2ALL55-1056,0.882989238,7.53940749,0,0,6,0,1,6,0.570886472,1.024813192,0.934661689
15Q2ALL55-1057,5.301594864,7.53940749,0,0,6,0,1,6,0.570886472,4.067115759,3.357941963
15Q2ALL55-1058,5.912178334,2.927515117,0,0,6,18,2,24,0.833377312,6.411349675,5.919383277
15Q2ALL55-1059,3.92592291,7.53940749,0,0,6,0,1,6,0.570886472,4.524659415,4.525323199
15Q2ALL55-1060,4.275802417,3.135054713,0,0,6,16,2,22,0.821564972,5.235863426,4.982540141
15Q2ALL55-1061,1.226691099,7.53940749,0,0,6,0,1,6,0.570886472,0.630952123,0.557791332
15Q2ALL55-1062,-0.620931327,7.656195397,0,0,6,0,1,6,0.564239362,-1.192021957,-0.73708649
15Q2ALL55-1063,-0.871762711,7.656195397,0,0,6,0,1,6,0.564239362,-1.011803884,-1.042562875
15Q2ALL55-1064,-1.748560549,7.586763292,0,0,6,0,1,6,0.568191165,-0.641867821,-0.070631636
15Q2ALL55-1065,-4.066272269,7.576158631,0,0,6,0,1,6,0.568794741,-3.946117677,-3.732256304
15Q2ALL55-1066,6.43910878,3.036954848,0,0,6,17,2,23,0.827148432,6.702973715,7.310522712
15Q2ALL55-1067,0.340521739,7.579722184,0,0,6,0,1,6,0.568591918,1.196679803,1.131931502
15Q2ALL55-1068,1.874225776,7.579722184,0,0,6,0,1,6,0.568591918,2.534318201,2.149843286
