"X1","X2","X3","X4"
230,6,26,0.672918789033382
231,6,27,0.757083763384706
232,6,28,0.603414139034325
233,6,29,0.588115554056975
234,6,30,0.640754119716129
235,6,31,0.568086208757374
236,6,32,0.403454607272963
237,6,33,0.431530123152488
238,6,34,0.615248992141995
239,6,35,0.584503567699449
240,6,36,0.441710773982448
241,6,37,0.512465952248327
242,6,38,0.512609108491529
243,6,39,0.509251939148774
244,6,40,0.604370448090209
245,6,41,0.397227632573071
246,6,42,0.542450069520908
247,6,43,0.485645743127883
248,6,44,0.537694943970689
249,6,45,0.479195656575604
250,7,8,0.493713276551033
251,7,9,0.518365653665408
252,7,10,0.327423501758765
253,7,11,0.375310309270486
254,7,12,0.322624879633638
255,7,13,0.510827698420188
256,7,14,0.54706112204172
257,7,15,0.422896781144666
258,7,16,0.478305278761492
259,7,17,0.502031925562411
260,7,18,0.288951331394997
261,7,19,0.69245034552489
262,7,20,0.439735021055362
263,7,21,0.331410773121802
264,7,22,0.439735021055362
265,7,23,0.396351689280826
266,7,24,0.550628520128546
267,7,25,0.580068993157983
268,7,26,0.705660246359861
269,7,27,0.789825220711186
270,7,28,0.636155596360804
271,7,29,0.620857011383454
272,7,30,0.673495577042609
273,7,31,0.600827666083853
274,7,32,0.436196064599442
275,7,33,0.464271580478968
276,7,34,0.647990449468474
277,7,35,0.617245025025928
278,7,36,0.474452231308927
279,7,37,0.545207409574807
280,7,38,0.545350565818008
281,7,39,0.541993396475253
282,7,40,0.637111905416688
283,7,41,0.429969089899551
284,7,42,0.575191526847387
285,7,43,0.518387200454363
286,7,44,0.570436401297168
287,7,45,0.511937113902084
288,8,9,0.474897476340051
289,8,10,0.283955324433408
290,8,11,0.331842131945129
291,8,12,0.279156702308281
292,8,13,0.467359521094832
293,8,14,0.503592944716363
294,8,15,0.37942860381931
295,8,16,0.434837101436135
296,8,17,0.458563748237055
297,8,18,0.24548315406964
298,8,19,0.648982168199533
299,8,20,0.396266843730006
300,8,21,0.287942595796445
301,8,22,0.396266843730006
302,8,23,0.35288351195547
303,8,24,0.50716034280319
304,8,25,0.536600815832626
305,8,26,0.662192069034505
306,8,27,0.746357043385829
307,8,28,0.592687419035448
308,8,29,0.577388834058098
309,8,30,0.630027399717252
310,8,31,0.557359488758497
311,8,32,0.392727887274085
312,8,33,0.420803403153611
313,8,34,0.604522272143117
314,8,35,0.573776847700572
315,8,36,0.430984053983571
316,8,37,0.50173923224945
317,8,38,0.501882388492652
318,8,39,0.498525219149896
319,8,40,0.593643728091332
320,8,41,0.386500912574194
321,8,42,0.531723349522031
322,8,43,0.474919023129006
323,8,44,0.526968223971812
324,8,45,0.468468936576727
325,9,10,0.308607701547784
326,9,11,0.356494509059504
327,9,12,0.303809079422656
328,9,13,0.492011898209207
329,9,14,0.528245321830739
330,9,15,0.404080980933685
331,9,16,0.45948947855051
332,9,17,0.48321612535143
333,9,18,0.270135531184016
334,9,19,0.673634545313908
335,9,20,0.420919220844381
336,9,21,0.31259497291082
337,9,22,0.420919220844381
338,9,23,0.377535889069845
339,9,24,0.531812719917565
340,9,25,0.561253192947001
341,9,26,0.68684444614888
342,9,27,0.771009420500204
343,9,28,0.617339796149823
344,9,29,0.602041211172473
345,9,30,0.654679776831627
346,9,31,0.582011865872872
347,9,32,0.417380264388461
348,9,33,0.445455780267986
349,9,34,0.629174649257493
350,9,35,0.598429224814947
351,9,36,0.455636431097946
352,9,37,0.526391609363825
353,9,38,0.526534765607027
354,9,39,0.523177596264272
355,9,40,0.618296105205707
